Sample	H-0-2	H-0-3	H-0-4	H-0-5	H-3-2	H-3-3	H-3-4	H-3-5	H-4-2	H-4-3	H-4-4	H-4-5	H-5-2	H-5-3	H-5-4	H-5-5	H-6-2	H-6-3	H-6-4	H-6-5	D-0-1	D-0-2	D-0-3	D-0-5	D-3-1	D-3-2	D-3-3	D-3-5	D-4-1	D-4-2	D-4-3	D-4-5	D-5-1	D-5-2	D-5-3	D-5-5	D-6-1	D-6-2	D-6-3	D-6-5
Ralstonia phage RSJ5	0	0	0.014682416	0	0	0	0.010785789	0	0	0	0.038745422	0	0	0.013516162	0	0.031634136	0	0	0	0	0.008385932	0	0	0	0.022763496	0	0	0	0.014296236	0	0.012406461	0	0	0.013677437	0	0.025028463	0	0	0	0.01345105
Ralstonia phage RSK1	0.028650551	0.03846154	0.014682416	0	0.028801006	0.029926882	0.032357366	0.037069513	0.044072196	0.02810153	0.064575703	0.106648116	0.047912488	0	0.04656968	0.047451204	0.075001171	0.03690809	0.077349593	0.07645871	0.025157797	0.031315708	0.062860172	0.059327402	0.022763496	0.046670266	0.042148044	0.070776726	0.042888707	0.026992882	0.024812923	0.029405095	0.055922342	0.08206462	0.059150179	0.012514231	0.043858706	0.069261729	0.026928043	0.040353151
Ralstonia phage RSB3	0	0	0.014682416	0.014709569	0	0	0	0.012356504	0	0	0	0	0	0.027032324	0	0.063268272	0	0.03690809	0	0.025486237	0.03354373	0	0.015715043	0.029663701	0	0	0	0.011796121	0	0	0.024812923	0	0	0	0	0.012514231	0	0	0	0.01345105
Ralstonia phage P4282	1.804984697	1.551282131	1.717842693	1.647471709	0.129604525	0.179561295	0.08628631	0.086495531	0.146907319	0.11240612	0.142066546	0.076177226	0.119781221	0.108129294	0.201801945	0.142353611	0.075001171	0.098421574	0.103132791	0.140174301	1.056627493	1.080391915	0.848612323	0.830583632	0.068290488	0.046670266	0.084296087	0.129757331	0.10007365	0.026992882	0.049625845	0.073512738	0.041941756	0.095742057	0.078866905	0.112628083	0.058478275	0.124671112	0.040392065	0.080706303
Ralstonia phage RS138	0	0	0	0	0.014400503	0	0	0	0.014690732	0	0	0.015235445	0.023956244	0	0	0	0.012500195	0.024605393	0	0	0	0	0	0	0.034145244	0	0	0	0.014296236	0	0	0	0	0	0.009858363	0	0	0	0	0.026902101
Total-RSphage	2.206092408	1.782051373	2.070220682	1.956372654	0.288010055	0.35912259	0.237287352	0.210060574	0.367268297	0.2810153	0.361623936	0.304708903	0.323409296	0.270323235	0.357034211	0.458694969	0.225003513	0.307567418	0.283615176	0.331321076	1.266275806	1.299601869	1.037192839	1.097556942	0.261780203	0.186681062	0.19669087	0.283106905	0.214443536	0.134964409	0.161283997	0.235240763	0.15378644	0.273548733	0.216883989	0.237770398	0.248532667	0.249342225	0.161568259	0.269021009
COG1020	5.603009281	7.099388465	5.549387141	5.473321994	9.00590148	8.818002723	12.05685924	10.61374783	8.358073166	8.719942164	9.866211626	7.866220413	10.69448683	10.18732644	9.628752123	10.11757466	10.58529513	10.69683491	10.08383243	10.25703753	9.909359993	4.493586745	4.33959824	4.879142672	11.21623273	7.389909595	8.861267865	10.68201797	8.570739954	9.626824702	9.806967452	8.516453487	9.021523143	9.257287657	12.90372389	9.904011615	9.040223436	9.302948961	9.67366159	9.898558979
COG3321	3.743888965	4.596258317	3.830300281	3.879439296	6.106638659	6.251187993	8.207596219	7.179944599	6.099543872	6.807933073	6.817227259	6.076463917	7.865432102	6.813629385	6.748786834	6.79592063	7.653747823	7.590011588	6.483086065	7.316213322	6.194613482	3.023045361	2.98086867	3.277230732	7.485769782	5.313411264	6.337425961	7.428767822	5.922414916	6.533419122	7.060772473	5.452340017	6.768113957	6.775373316	9.497080458	7.067892185	6.219289645	6.561690148	6.59528007	6.498978402
NOG01415	2.647588696	3.139177282	2.509066091	2.521562229	4.058228228	4.122652276	5.364268415	4.716607784	4.099805435	4.168799935	4.810602641	3.727567737	4.905922621	4.907833634	4.992679119	4.927791212	4.633585351	4.681923925	4.707217324	4.73822502	4.174582305	2.109776541	2.056832023	2.411501482	5.033056999	3.573206192	4.099764946	4.876437509	4.140196509	4.425277467	4.630566247	3.675140303	4.231356133	4.359715424	5.870828143	4.489303426	4.060234124	4.241511113	4.483774753	4.323661736
ratio	0.043162082	0.030081334	0.041172923	0.034092049	0.017681292	0.019427224	0.01670457	0.012047313	0.015123172	0.014023831	0.010675475	0.01269693	0.010889087	0.009551382	0.013915706	0.018208246	0.007971102	0.008967776	0.007912913	0.010238607	0.016256996	0.01589295	0.014585961	0.016975742	0.009442258	0.008004892	0.009457808	0.00735391	0.008307353	0.008397869	0.008631555	0.006594466	0.007486488	0.011017567	0.009684185	0.006932252	0.006563777	0.00558622	0.007059682	0.00850012
