species	Disease_outcome	effect	group	D.0.1	D.0.2	D.0.3	D.0.5	D.3.1	D.3.2	D.3.3	D.3.5	D.4.1	D.4.2	D.4.3	D.4.5	D.5.1	D.5.2	D.5.3	D.5.5	D.6.1	D.6.2	D.6.3	D.6.5
Brucella abortus	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.153043736	0.120186171	0.103523814	0.098859649	0.26033926	0.176337221	0.208071403	0.236477263	0.234572883	0.181355999	0.272367271	0.193960615	0.211279011	0.190444284	0.255715729	0.243421387	0.184963766	0.200538511	0.151848511	0.203688761
Brucella phage Tb	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.009262217	0.006610648	0	0	0.003745318	0.003649635	0.003649635	0	0.003649635	0.016775247	0.007490637	0	0	0.005612582	0.002747253
Burkholderia cenocepacia	Diseased	Primary-bacterial-effect	inhibitor_bacteria	5.488117112	2.657561778	2.700287197	2.99645374	4.675208559	3.281386574	3.594636122	4.545656599	3.719109376	3.733056406	4.354930953	3.498039304	3.684065332	3.824121104	5.154918536	3.917586623	3.349077251	3.733613384	3.911496966	3.844269534
Burkholderia cepacia	Diseased	Primary-bacterial-effect	inhibitor_bacteria	3.321401768	1.580222862	1.848633713	1.913565189	2.847859455	2.043898865	2.251467344	2.776660087	2.340299207	2.408925268	2.873875958	2.386200727	2.324110717	2.614599191	3.206686575	2.473819033	2.236030353	2.423938834	2.511348856	2.340895546
Burkholderia phage BcepB1A	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.039202334	0.018396431	0.024728864	0.022211361	0	0.019251139	0.003676471	0.002506266	0.003597122	0.012175554	0.003676471	0	0.011029412	0	0.003676471	0	0.024565089	0	0	0.010870715
Burkholderia phage BcepGomr	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.017184737	0.005007422	0.001949318	0.007797271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia phage BcepNazgul	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.059870826	0.010904711	0.040739259	0.04446829	0	0	0.003838772	0.001919386	0.006376843	0.010173168	0.004745577	0.002538071	0.009596929	0.002074689	0.006532146	0.002538071	0.008606834	0.002538071	0.004457457	0
Burkholderia phage JG068	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0.005847953	0	0	0	0.002923977	0	0	0	0	0	0	0	0	0.00877193	0	0	0	0	0
Caulobacter phage Cd1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.055050394	0.017648562	0.009043828	0.024927481	0	0	0.002695418	0	0	0.002695418	0	0	0	0.003378378	0	0	0	0	0	0
Caulobacter phage Cr30	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.074751783	0.052033802	0.038990006	0.033963978	0	0	0	0.003636364	0	0	0	0	0	0	0.00140647	0.001992032	0	0	0.006666667	0
Caulobacter vibrioides	Diseased	Primary-bacterial-effect	inhibitor_bacteria	85.5360443	39.2532337	44.67947352	44.1661464	56.07332364	33.56931306	34.05187188	51.30697369	51.07879659	43.72809135	35.22680941	33.20000485	36.43839963	36.21254113	64.58780456	48.34741283	30.01125016	29.04494004	40.30184363	35.36671245
Celeribacter marinus	Diseased	Primary-bacterial-effect	facilitator_bacteria	0.076193285	0.033819693	0.035417766	0.044090064	0.053609678	0.042325463	0.040707133	0.04265132	0.06285101	0.05021901	0.032310536	0.050323619	0.030907313	0.028389622	0.047154096	0.025513731	0.081737293	0.043681689	0.045203538	0.024766122
Celeribacter phage P12053L	Diseased	Secondary-phage-effect	facilitator_associated_phage	0.075568111	0.028691534	0.013553504	0.053222376	0.012835674	0.002369668	0.025036334	0.022753381	0.0132939	0.031054571	0.019456446	0.02885661	0.061332697	0.023195772	0.038641283	0.031888673	0.015749522	0.017654138	0.018693093	0.037016743
Cronobacter phage CR8	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.00248139	0.004962779	0.00248139	0.004962779	0	0.00248139	0.00248139	0.004962779	0	0.00248139	0	0.00248139	0.00248139	0	0	0
Cronobacter phage CR9	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.018468185	0.012152396	0.016416446	0	0	0.002105263	0.007635184	0.003424658	0	0.002105263	0	0.018432327	0	0	0	0	0.003424658	0	0.006849315	0
Cronobacter phage Dev-CD-23823	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.003508772	0.003508772	0.003508772	0.003508772	0.003508772	0	0	0	0	0.003508772	0.010526316	0	0	0	0	0.003508772	0.014035088	0	0.014035088	0.003508772
Cronobacter phage S13	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.010964912	0	0.002192982	0	0	0	0	0	0	0.002192982	0.004385965	0	0	0	0	0	0	0	0	0.002192982
Cronobacter phage vB_CsaM_GAP161	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter phage vB_CsaM_GAP31	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.006006006	0	0.003003003	0	0.003003003	0.006776588	0.006006006	0	0	0.00754717	0.006776588	0.003003003	0	0.006776588	0.006776588	0.00754717	0.024873931	0.011320755	0.003003003	0.012782594
Cronobacter phage vB_CsaM_GAP32	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.015485075	0	0.001388889	0.014096186	0.009406575	0	0	0.009406575	0.005970149	0	0	0.005970149	0.002985075	0.002985075	0.002985075	0	0.005970149	0	0.008955224	0.011940299
Cronobacter phage vB_CsaP_Ss1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.00248139	0.006451613	0.009925558	0	0	0	0.002309469	0.003846154	0.015393498	0.0130787	0.002309469	0.010946481	0.009956128	0.003802281	0.008465091	0	0.007867781	0.002309469	0.00611175	0
Cronobacter sakazakii	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.124193229	0.064529186	0.051015326	0.043359733	0.126688466	0.116616483	0.095974366	0.18774459	0.134596468	0.10211228	0.154829359	0.133578161	0.159327176	0.152353099	0.155393291	0.135036511	0.108065625	0.097684707	0.140493964	0.110216827
Cronobacter turicensis	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.040564552	0.015796703	0.020599308	0.016741373	0.003703704	0.005952381	0.015609124	0.013672149	0.015224373	0.009656085	0.007692308	0.009813385	0.013417361	0.011417033	0.006679894	0.00297619	0.004016064	0.015924426	0.008402029	0.006679894
Cyanophage 9515-10a	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.011080124	0.008441602	0.008441602	0.002638522	0.003164557	0.029541431	0	0.011080124	0.014244681	0.011080124	0.043786113	0	0	0.003164557	0	0.005803079
Cyanophage KBS-S-2A	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.008726003	0.003490401	0.009598604	0.010471204	0.013089005	0.013089005	0.013089005	0.009598604	0.009598604	0.006980803	0.006980803	0.003490401	0.006980803	0.006108202	0.006980803	0.012216405
Cyanophage NATL2A-133	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.007722008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanophage S-TIM5	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007843137
Delftia phage IME-DE1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.009708738	0	0	0	0	0	0.002427184	0	0	0	0	0	0	0.004854369	0
Delftia sp. 670	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.094366306	0.046136549	0.043672553	0.048534857	0.052075496	0.027150418	0.042388742	0.060714639	0.04965533	0.061541862	0.058663054	0.047137586	0.030823547	0.026804219	0.047301145	0.026063376	0.042002623	0.031698002	0.034635533	0.047826614
Edwardsiella phage MSW-3	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.151107582	0.050036951	0.065061699	0.091819996	0.003787879	0.007575758	0.003028205	0.007311053	0.00070373	0.000979432	0.007627456	0.005952182	0	0	0.004862237	0.002083333	0.002192982	0	0.00070373	0.006370008
Edwardsiella tarda	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.2644508	0.128119721	0.083280994	0.146075411	0.21957119	0.195167946	0.166064626	0.193900313	0.211075329	0.197538587	0.257052681	0.168484871	0.191064728	0.244927394	0.255824679	0.267262393	0.200447266	0.229194513	0.227801619	0.210877925
Enterobacter cancerogenus	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.093744878	0.059806493	0.057796018	0.052011898	0.086528306	0.056172511	0.03905385	0.076001049	0.047211413	0.05844682	0.077981032	0.059857526	0.072466822	0.0494529	0.079399891	0.055185426	0.076283715	0.064607749	0.062006211	0.045252487
Enterobacter phage Enc34	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.001179245	0.001179245	0	0	0.001179245	0.003537736	0	0	0.005502372	0.004323127	0.001179245	0	0	0.011396282	0.001179245	0.004716981	0.005108518	0.003537736	0.003537736	0.002358491
Enterococcus faecalis	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.061371355	0.044318188	0.038584341	0.018618113	0.090153395	0.11966502	0.32663314	0.120357508	0.110643432	0.092136452	0.178710087	0.078734713	0.108334962	0.073322928	0.134404052	0.093584203	0.120536044	0.097833683	0.075146962	0.098934589
Enterococcus phage ECP3	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0.003322259	0	0	0.003322259	0.003322259	0	0	0	0.003322259	0.009966777	0	0.003322259	0.003322259	0
Gordonia malaquae	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.504106451	0.211394025	0.154150742	0.211441763	0.340964466	0.143437481	0.185186598	0.184712085	0.182081214	0.13240996	0.183258985	0.094889891	0.193585511	0.196965453	0.432451077	0.171726014	0.331076087	0.222170169	0.18325714	0.159023807
Gordonia phage GMA3	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.029864021	0.006079027	0.006079027	0.003039514	0	0	0.003861004	0.007722008	0	0	0.003039514	0	0.003861004	0.003039514	0	0	0.003115265	0.003115265	0.003115265	0.002688172
Gordonia phage GMA6	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.007199522	0	0.003134796	0	0.103800859	0.046035537	0.065042733	0.094244942	0.066084521	0.094229096	0.075214055	0.055207194	0.084617217	0.04607626	0.062580385	0.04775093	0.046993591	0.023725648	0.045282396	0.087022845
Gordonia phage GTE7	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.033092569	0.012362488	0.013506249	0.013861114	0.010819323	0.004758717	0.003030303	0	0.012911373	0.016368201	0.004758717	0.01747814	0.003030303	0.013122353	0.017090909	0.008727273	0.007132403	0.009433962	0.007214403	0.0041021
Klebsiella phage JD001	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.04559045	0.017581317	0.033334821	0.050662784	0.009389671	0.00273224	0	0.004959412	0	0	0	0.00273224	0	0	0	0	0.00273224	0.004259692	0	0.002227171
Klebsiella phage vB_KpnP_IME205	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0.004830918	0	0	0.004830918	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella pneumoniae	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.820632239	0.419747921	0.398779917	0.417557103	0.683989648	0.413903461	0.521363096	0.577785879	0.444681886	0.448588105	0.574424741	0.426353014	0.586041136	0.527117577	0.818939303	0.528426602	0.414177118	0.449102778	0.538173914	0.502157867
Lactococcus lactis	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.015172612	0.008179244	0.003344482	0.014783599	0.02471617	0.026341158	0.025874997	0.020536062	0.038686229	0.032303576	0.020515104	0.012147176	0.014428354	0.007350427	0.040346355	0.033500267	0.013492755	0.02032841	0.021684028	0.032687757
Lactococcus phage P118	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.003663004	0.003663004	0	0	0	0	0.007326007	0	0	0	0	0.003663004	0	0.003663004	0	0
Lactococcus phage P162	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.032679739	0.029411765	0.016339869	0.039215686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium oxydans	Diseased	Primary-bacterial-effect	inhibitor_bacteria	1.327606466	0.673227017	0.238950883	0.497674103	1.222063306	0.512576575	0.706526344	0.774300231	0.610868721	0.490900498	0.542113917	0.420058929	0.5786645	0.502084677	1.250285295	0.578787833	1.063668631	0.58258678	0.517767367	0.37655855
Microbacterium phage vB_MoxS-ISF9	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.09984985	0.048048048	0.008258258	0.027027027	0.045045045	0	0.030780781	0.008258258	0.018768769	0	0.005255255	0.001501502	0.023273273	0.00975976	0.095345345	0.012012012	0.07957958	0.02027027	0.023273273	0.004917417
Nocardia brasiliensis	Diseased	Primary-bacterial-effect	facilitator_bacteria	1.130098691	0.551007249	0.537288023	0.534527419	0.86332456	0.562704463	0.585453871	0.916044622	0.756551121	0.77535667	0.746540877	0.676534438	0.790348273	0.814264664	1.158294687	0.753356007	0.693953759	0.726187005	0.828726802	0.647847705
Nocardia phage NBR1	Diseased	Secondary-phage-effect	facilitator_associated_phage	0	0	0	0	0	0	0	0	0.008130081	0	0.008130081	0	0	0	0	0.008130081	0	0.004065041	0.004065041	0
Prochlorococcus marinus	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.320867289	0.131610979	0.159155452	0.145287046	0.41298824	0.31928851	0.286542492	0.46603834	0.301127394	0.354054718	0.41734921	0.327700423	0.372821997	0.401953167	0.494568203	0.341416286	0.272903619	0.39406309	0.356844423	0.342527152
Prochlorococcus phage P-HM2	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.005076142	0.005076142	0.003384095	0.008460237	0	0	0.001692047	0	0	0.001692047	0.001692047	0	0	0.003384095	0.001692047	0	0.001692047	0.003384095	0.005076142	0.001692047
Prochlorococcus phage P-SSM2	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.007790041	0.003921569	0.015006131	0.011764706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorococcus phage P-SSM7	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorococcus phage Syn33	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.015706806	0.001745201	0.001745201	0.008726003	0	0.001745201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoalteromonas marina	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.022809305	0.013536057	0.004878049	0.017931256	0.008739053	0.004878049	0.008739053	0	0	0	0.013617101	0	0.003861004	0	0.004878049	0.004878049	0	0	0.003861004	0
Pseudoalteromonas phage H101	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.003623188	0	0	0.003623188	0	0	0	0	0.003623188	0.003623188	0.007246377	0	0.007246377	0.003623188	0	0
Pseudoalteromonas Phage H103	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.024738118	0.002564103	0.005168269	0.013298351	0.013298351	0.00203252	0.005168269	0.002604167	0.005168269	0.004636687	0	0	0	0.00203252	0.004596623	0.002604167	0.002604167	0	0	0
Pseudoalteromonas phage RIO-1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.037029637	0.008302808	0.010866911	0.026129426	0	0	0	0	0.002564103	0	0	0	0	0	0	0	0	0.005128205	0	0
Pseudomonas fluorescens	Diseased	Primary-bacterial-effect	inhibitor_bacteria	5.544434438	2.478185639	2.587758882	2.932360489	5.327576153	3.724740167	4.117365586	4.907853987	4.3075425	4.421761321	4.980630272	4.290957364	4.526533666	4.486850642	5.90357201	4.646647516	3.802708435	4.399960798	4.424632108	4.505648223
Pseudomonas phage UFV-P2	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.002262443	0	0	0	0	0.002262443	0	0	0.004524887	0.002262443	0	0.004524887	0.00678733	0.004524887	0.00678733
Ralstonia phage P4282	Diseased	Primary-phage-effect	Pathogen_phage	0.062593145	0.034277198	0.026825633	0.027819175	0.002980626	0.001490313	0.002980626	0.005464481	0.003477397	0.000993542	0.001987084	0.002483855	0.001490313	0.003477397	0.003974168	0.004470939	0.001987084	0.004470939	0.001490313	0.002980626
Ralstonia phage RS138	Diseased	Primary-phage-effect	Pathogen_phage	0	0	0	0	0.010989011	0	0	0	0.003663004	0	0	0	0	0	0.003663004	0	0	0	0	0.007326007
Ralstonia phage RSF1	Diseased	Primary-phage-effect	Pathogen_phage	0.023901225	0.004237288	0.002824859	0	0	0.001412429	0	0.003937008	0	0	0	0.006678223	0	0	0.002994012	0.003937008	0.001412429	0	0	0.002994012
Ralstonia phage RSJ5	Diseased	Primary-phage-effect	Pathogen_phage	0.002754821	0	0	0	0.005509642	0	0	0	0.002754821	0	0.002754821	0	0	0.002754821	0	0.005509642	0	0	0	0.002754821
Ralstonia phage RSL1	Diseased	Primary-phage-effect	Pathogen_phage	0.035320501	0.039942989	0.024230545	0.031073278	0.080087821	0.053551366	0.068311216	0.052244069	0.054461201	0.064261034	0.081501018	0.041480071	0.051615782	0.075053181	0.083699262	0.056763914	0.03687454	0.036482041	0.055819698	0.045616796
Ralstonia phage RSL2	Diseased	Primary-phage-effect	Pathogen_phage	0.038154299	0.00936642	0.013737049	0.0224543	0.004310345	0.004578755	0.003787879	0.002487562	0	0.00740632	0	0.00297619	0.011716665	0	0.009160706	0	0.007856444	0	0.006072166	0.004310345
Ralstonia solanacearum	Diseased	Pathogen	Pathogen	12.05018655	6.012019141	6.42059008	6.456491555	12.27662131	8.466842089	9.533679223	11.21897429	9.692409096	10.21244057	11.47843535	10.00411743	10.59549616	10.28914363	14.64740985	11.12593864	9.584423867	10.45356546	10.82710179	10.83702652
Rhizobium gallicum	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.976017101	0.569197132	0.494140192	0.645129886	1.048715292	0.84428842	0.762393883	0.960736414	0.834507401	0.860312875	0.858730515	0.763166784	0.880507026	0.736828642	1.212472069	0.847007176	0.70872015	0.907370391	0.969680877	0.949471345
Rhizobium phage vB_RglS_P106B	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.014397165	0.004464183	0.000815661	0.010864113	0.002717391	0.008815978	0.003460208	0.000815661	0.008565345	0	0.006384184	0	0.021454099	0.007096571	0.01763459	0.022741438	0.005702466	0.009242952	0.01384083	0.006448504
Rhodobacter capsulatus	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.676809466	0.420452111	0.336346157	0.402839833	0.64291844	0.447113936	0.43095847	0.597168586	0.463820417	0.572596181	0.510923455	0.454679365	0.494824618	0.522252707	0.762861696	0.660994733	0.45547589	0.480710308	0.524663078	0.504379282
Rhodobacter phage RcTitan	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0.003937008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodothermus marinus	Diseased	Primary-bacterial-effect	inhibitor_bacteria	24.3772845	12.33256449	12.63771264	13.43156712	24.61598533	17.46069782	18.85251534	22.4831359	20.60717283	21.00732326	23.05893418	19.22857841	19.93020356	20.52782206	28.43966064	20.5610541	18.90034915	20.20790444	21.44442232	21.22867062
Rhodothermus phage RM378	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella enterica	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.732770711	0.345739828	0.36082366	0.367050827	0.640663679	0.369407168	0.518017098	0.49113026	0.480355231	0.551194396	0.523546356	0.405621387	0.520817991	0.52435325	0.732310768	0.553012189	0.403181247	0.444776561	0.490876031	0.512452709
Salmonella phage 37	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0.009009009	0	0	0	0.004504505	0	0.009009009	0	0	0	0	0
Salmonella phage 40	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.003787879	0.011363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella phage SKML-39	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.002824859	0	0.011299435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinorhizobium meliloti	Diseased	Primary-bacterial-effect	facilitator_bacteria	4.297199379	2.1411272	2.145756269	2.499943229	5.034200016	3.308831417	3.542451627	4.47419775	3.888176302	4.168175378	4.389545706	3.552283049	3.705019666	4.097747082	5.295301089	4.045117398	3.762033211	3.823140829	4.087638271	4.026514669
Sinorhizobium phage phiN3	Diseased	Secondary-phage-effect	facilitator_associated_phage	0.029737399	0.021250592	0.009268773	0.010467787	0	0.00245098	0	0	0.00245098	0	0	0	0.00245098	0	0.00245098	0.00245098	0	0	0.004901961	0
Stenotrophomonas maltophilia	Diseased	Primary-bacterial-effect	inhibitor_bacteria	13.14532619	6.524624215	6.898332982	6.853761017	15.95212568	10.84341017	11.78727842	14.01397314	11.55757641	12.03704551	13.08330081	11.17545216	11.25472243	11.4684949	15.77798443	11.77525163	9.35069268	10.1061389	10.57739782	10.97984086
Stenotrophomonas phage IME-SM1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.073599588	0.037339445	0.026160764	0.049797259	0.033733864	0.038789021	0.017168826	0.054059321	0.027271128	0.034019187	0.025351713	0.030889088	0.013852767	0.013485754	0.026237306	0.045239744	0.014428221	0.025903051	0.024204422	0.040255223
Streptomyces avermitilis	Diseased	Primary-bacterial-effect	inhibitor_bacteria	1.482582223	0.698137426	0.555779878	0.654912231	1.028439895	0.621496843	0.735930274	0.896993997	0.724401817	0.736923573	0.766934425	0.618722651	0.866728294	0.909983522	1.359525697	0.875873612	0.907993425	0.757874289	0.89999366	0.700152343
Streptomyces griseus	Diseased	Primary-bacterial-effect	inhibitor_bacteria	2.397528145	1.106173312	1.066287038	1.304645816	1.479869141	1.008804793	1.099462819	1.238696466	1.012324625	1.171822302	1.155899298	0.950218077	1.119727	1.281940067	1.644429658	1.423760478	1.14848076	1.220925451	1.217383179	1.343329855
Streptomyces lividans	Diseased	Primary-bacterial-effect	facilitator_bacteria	0.103576595	0.093791254	0.047015155	0.041271885	0.062014521	0.067036332	0.048127636	0.081604825	0.074314448	0.079022777	0.058304036	0.043347353	0.093082313	0.074381736	0.110625909	0.076993727	0.058473516	0.051727739	0.086374908	0.067858603
Streptomyces phage Izzy	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.005899705	0.01179941	0.002949853	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007142857	0	0	0
Streptomyces phage Jay2Jay	Diseased	Secondary-phage-effect	facilitator_associated_phage	0.274850163	0.127022721	0.133708454	0.176432545	0.33423957	0.277868618	0.33407735	0.372566216	1.331882139	1.505563166	3.010023499	1.01343989	0.324886461	0.30412363	0.671031806	0.283551212	0.285871969	0.341282708	0.388577729	0.42293428
Streptomyces phage phiSAJS1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.001754386	0	0.001754386	0	0.001754386	0	0	0.022807018	0.014035088	0.033333333	0.043859649	0	0	0	0.003508772
