species	Disease_outcome	effect	group	H.0.2	H.0.3	H.0.4	H.0.5	H.3.2	H.3.3	H.3.4	H.3.5	H.4.2	H.4.3	H.4.4	H.4.5	H.5.2	H.5.3	H.5.4	H.5.5	H.6.2	H.6.3	H.6.4	H.6.5
Cyanophage P-TIM40	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.007490637	0.003745318	0.003745318	0.003745318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanophage S-TIM5	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.003921569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia phage IME-DE1	Healthy	Secondary-phage-effect	facilitator_associated_phage	0	0	0	0	0.007281553	0.007281553	0.004854369	0.012135922	0.002427184	0.002427184	0	0	0.002427184	0	0	0	0	0.009708738	0	0
Delftia sp. 670	Healthy	Primary-bacterial-effect	facilitator_bacteria	0.035676766	0.082307014	0.048148632	0.0634979	0.038795226	0.045475815	0.03089301	0.043519889	0.039402044	0.033423246	0.044572232	0.028927231	0.043103191	0.040114475	0.037847963	0.024319976	0.06986156	0.035055999	0.060385794	0.045675945
Edwardsiella phage MSW-3	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.162980508	0.128217108	0.117626287	0.103965376	0.009422243	0.013554692	0.017849274	0.007716608	0.013231363	0.01217329	0.006536977	0.005191934	0.007812944	0.010223077	0.00934967	0.012461221	0.004898252	0.005735943	0.004134006	0.007099795
Edwardsiella tarda	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.159606207	0.232021195	0.132690442	0.174315147	0.192266187	0.156109784	0.269194293	0.225191778	0.132970628	0.253925864	0.182244021	0.188975834	0.197235512	0.282326347	0.186600857	0.138258798	0.205975733	0.16590385	0.237083701	0.193082057
Enterobacter cancerogenus	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.058134014	0.119921786	0.095354754	0.077901984	0.083907356	0.048097315	0.097528927	0.06527034	0.100881749	0.07019718	0.093183147	0.05047389	0.071313304	0.058162771	0.048971458	0.049113786	0.0551232	0.076112682	0.090555126	0.054483602
Enterobacter phage Enc34	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.001179245	0.001179245	0.001964637	0.003537736	0	0.011790136	0.001179245	0.008646254	0.013757089	0.010219354	0.011792453	0.010219354	0.011004745	0.004323127	0.007860863	0.012971698	0.007467009	0.007860863	0.011004745
Erwinia amylovora	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.023663359	0.014640513	0.0184039	0.034154289	0.034900561	0.029203319	0.041706996	0.060679912	0.020440345	0.034093452	0.095536782	0.046324749	0.047226424	0.030134774	0.022840227	0.018717475	0.045696934	0.03711354	0.053134347	0.043799412
Erwinia phage Ea35-70	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.009009009	0.012612613	0.010810811	0	0	0	0	0.001801802	0	0	0	0	0	0	0	0	0	0	0	0
Erwinia phage Ea9-2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.002283105	0.002283105	0.00913242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erwinia phage phiEa21-4	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.003831418	0	0.003831418	0.003831418	0	0	0.003703704	0	0.003831418	0	0	0	0.003831418	0	0	0	0	0	0	0
Erwinia phage PhiEaH1	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.00876085	0.014210441	0.014796903	0.008399444	0	0.002724796	0.002949853	0.005899705	0.002949853	0.005899705	0	0.002949853	0.002949853	0.002949853	0	0.006622517	0	0.002949853	0.002949853	0.017699115
Klebsiella phage JD001	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.061120215	0.097574094	0.062606916	0.057508081	0.00273224	0.008543641	0.011046916	0.005958515	0.016071186	0.007186583	0	0.002227171	0.004959412	0.011616843	0.004454343	0.022271715	0	0	0	0.009689858
Klebsiella pneumoniae	Healthy	Primary-bacterial-effect	facilitator_bacteria	0.440841635	0.502885342	0.412530718	0.396534537	0.485869338	0.437917824	0.652829203	0.496774312	0.434103386	0.507962762	0.638850764	0.4815144	0.572156496	0.525228062	0.3563996	0.452989493	0.636293929	0.5516673	0.52418855	0.549099517
Lactococcus lactis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.017104797	0.023982538	0.012010661	0.003717472	0.033234223	0.012255934	0.058936021	0.005925926	0.023324734	0.036188053	0.024428683	0.018232295	0.015482163	0.032227965	0.040072078	0.032203461	0.035301873	0.021781465	0.021598233	0.016825256
Lactococcus phage P118	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.003663004	0.003663004	0.007326007	0	0.007326007	0.010989011	0.003663004	0.007326007	0	0.007326007	0	0	0	0.010989011	0
Lactococcus phage P162	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.035947712	0.04248366	0.039215686	0.055555556	0	0	0	0	0	0	0	0	0	0.003267974	0.003267974	0	0	0	0	0
Microbacterium oxydans	Healthy	Primary-bacterial-effect	inhibitor_bacteria	1.212281429	0.563131267	0.445387572	0.357000636	0.413175604	0.356249704	0.436635516	0.566010365	0.259035959	0.318288586	0.494333629	0.67054936	0.404153738	0.316946778	0.330754386	0.274034595	0.333608293	0.993783159	0.43391251	0.574391854
Microbacterium phage vB_MoxS-ISF9	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.085585586	0.022522523	0.021771772	0.008258258	0.012837838	0.005255255	0.004917417	0.015015015	0	0	0.01951952	0.036036036	0.001501502	0	0	0	0	0.054054054	0.015765766	0.032282282
Microcystis aeruginosa	Healthy	Primary-bacterial-effect	facilitator_bacteria	1.531706879	1.909620223	1.560327777	1.480163495	3.021110128	2.932961269	3.625314043	3.244777288	2.860858261	3.052762303	3.166424695	2.846132217	3.41661487	3.449929396	2.664977264	2.628719323	3.452224161	3.708727778	3.727542642	3.626114659
Microcystis phage MaMV-DC	Healthy	Secondary-phage-effect	facilitator_associated_phage	0	0.004938272	0.002469136	0.011238825	0.004938272	0	0.002469136	0.004938272	0.006300553	0.007662835	0.007407407	0.009876543	0	0.003831418	0	0.002469136	0.009876543	0.007407407	0.007662835	0
Mycobacterium phage Chy4	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.012012012	0	0.018018018	0.006006006	0.021021021	0.012012012	0.006006006	0.015015015	0.021021021	0.012012012	0.009009009	0.03003003	0.009009009	0	0.003003003	0.009009009	0.018018018	0.024024024	0.006006006	0
Mycobacterium tuberculosis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	7.926269089	9.627154426	7.376465074	7.88333969	7.87866817	7.377372707	10.19150072	9.509273866	8.003322959	8.857576108	9.545910104	7.85560747	10.87282744	9.528892243	9.3143493	8.423640664	9.837757251	10.39731678	8.886091034	9.66433214
Nocardia brasiliensis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.557811292	0.594093486	0.549748271	0.56132272	0.628008258	0.644840333	0.843570935	0.861053372	0.697465286	0.812115312	0.839300927	0.605227631	0.964923728	0.756550438	0.771734411	0.799092307	0.812789685	0.844271336	0.844393138	0.831988527
Nocardia phage NBR1	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0	0.004065041	0	0	0	0	0	0	0	0	0.004065041	0
Prochlorococcus marinus	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.138359244	0.201515265	0.141161913	0.23403983	0.327592474	0.399268378	0.481293374	0.371943614	0.365316354	0.318472161	0.394030867	0.305356873	0.416632219	0.303516846	0.299120188	0.279363501	0.423443508	0.393227795	0.498380184	0.438975013
Prochlorococcus phage MED4-213	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.002890173	0.002890173	0.014450867	0.005780347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorococcus phage P-HM2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.018612521	0.001692047	0.011844332	0.011844332	0	0	0	0	0	0	0.005076142	0.001692047	0	0.001692047	0	0.011844332	0.005076142	0.001692047	0.003384095	0
Prochlorococcus phage P-SSM2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.007162994	0.010457516	0.009777373	0.002614379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorococcus phage P-SSM7	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0.005988024	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorococcus phage Syn33	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.020942408	0.010471204	0.005235602	0.013961606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteus mirabilis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.045522884	0.010928516	0.016545145	0.011825142	0.039529389	0.035936764	0.042498904	0.048214508	0.022117857	0.060754306	0.035861888	0.01507947	0.049662987	0.027590131	0.018001314	0.037148199	0.028379484	0.013536685	0.030937871	0.031349421
Proteus phage pPM_01	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0.003787879	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001893939	0	0
Pseudoalteromonas marina	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0	0.009207053	0.020285916	0.004878049	0	0	0.012600057	0	0	0	0	0	0	0	0	0	0	0.007751938	0	0
Pseudoalteromonas phage H101	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.003623188	0	0	0	0	0	0	0	0	0.003623188	0	0.003623188	0	0.010869565	0
Pseudoalteromonas Phage H103	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.002564103	0	0	0.002604167	0	0.005128205	0	0	0.002604167	0.0078125	0	0.005128205	0	0	0.002564103	0	0	0	0	0.005208333
Pseudoalteromonas phage RIO-1	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.030769231	0.023687424	0.016228216	0.017249417	0.002564103	0	0.005128205	0.005128205	0.008624709	0.006349206	0.002564103	0	0	0	0	0	0.002564103	0	0.012121212	0
Pseudomonas chlororaphis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.504463831	0.575198679	0.445846352	0.434497024	0.599037909	0.618308982	0.916753751	0.758403258	0.603301864	0.694717289	0.697877472	0.555185139	0.880418954	0.761598116	0.508621286	0.499867708	0.678637048	0.76246829	0.726730853	0.830467499
Pseudomonas phage 201phi2-1	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.012077295	0.009661836	0.004830918	0.009661836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Puniceispirillum phage HMO-2011	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.007722008	0	0.002710027	0	0	0.002710027	0	0.003144654	0.005854681	0.003144654	0	0.005854681	0.002710027	0.002710027	0	0.005854681	0.010840108	0.003144654	0.003144654
Ralstonia phage P4282	Healthy	Primary-phage-effect	Pathogen_phage	0.062593145	0.06010929	0.058122206	0.055638351	0.004470939	0.005961252	0.003974168	0.003477397	0.00496771	0.003974168	0.005464481	0.002483855	0.00496771	0.003974168	0.006458023	0.004470939	0.002980626	0.003974168	0.003974168	0.005464481
Ralstonia phage RS138	Healthy	Primary-phage-effect	Pathogen_phage	0	0	0	0	0.003663004	0	0	0	0.003663004	0	0	0.003663004	0.007326007	0	0	0	0.003663004	0.007326007	0	0
Ralstonia phage RSF1	Healthy	Primary-phage-effect	Pathogen_phage	0.046267553	0.021082104	0.040762978	0.027199006	0	0.015120702	0.006527581	0	0.00954645	0.002994012	0	0	0.006761867	0.007874016	0.002994012	0.006527581	0	0	0	0.006289308
Ralstonia phage RSL1	Healthy	Primary-phage-effect	Pathogen_phage	0.14966036	0.092866842	0.120348338	0.121385977	0.130391272	0.14643321	0.186132006	0.108986972	0.102943277	0.106413369	0.075001292	0.090851485	0.077754556	0.06780803	0.089516916	0.084867364	0.066801864	0.062517318	0.043267957	0.054194005
Ralstonia phage RSL2	Healthy	Primary-phage-effect	Pathogen_phage	0.032035947	0.048112797	0.043583029	0.027479316	0.005140082	0.004310345	0.006989988	0.006838166	0.003095975	0.004166667	0.004310345	0	0.013238916	0.007706767	0.003095975	0.008333333	0	0	0.015418597	0.013760772
Ralstonia solanacearum	Healthy	Pathogen	Pathogen	6.973550748	7.781425846	6.731270057	6.875436993	9.159577051	9.214585863	12.88747205	11.40230069	9.340305117	9.793270577	10.8836135	9.017792692	11.29550084	9.99947192	8.267202362	7.909043905	11.51264427	11.28061635	10.86263886	11.2914942
Rhizobium leguminosarum	Healthy	Primary-bacterial-effect	inhibitor_bacteria	6.335198364	7.035411684	5.966727324	5.964804813	8.629508463	8.580975617	11.5402462	10.12518537	8.536255678	8.984571925	9.590794614	8.302641823	10.53161402	9.572096466	7.603853462	8.051879394	10.52944715	10.18118979	10.16163223	10.497347
Rhizobium phage vB_RleS_L338C	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.007220217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus erythropolis	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.627558446	0.755238903	0.574195172	0.58712752	0.660314262	0.685790272	0.891511739	0.734665863	0.813818016	0.848589223	0.8151774	0.626824142	0.916455186	0.765329432	0.843970553	0.76718478	0.958363442	0.863627274	0.921766848	0.913184064
Rhodococcus phage RER2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.006349206	0.004878049	0	0	0	0.004878049	0	0	0	0	0	0	0.004878049	0.004878049	0	0	0	0	0
Rhodothermus marinus	Healthy	Primary-bacterial-effect	inhibitor_bacteria	13.10529092	15.29851789	12.46581064	12.86279236	19.14378827	18.62705276	25.37177019	21.81638758	18.33250588	20.4634686	21.7641644	18.32624524	24.09733414	20.43507096	16.34047852	16.4942175	23.23859646	22.61451044	22.27643219	22.68834189
Rhodothermus phage RM378	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.003289474	0.006578947	0.003289474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella enterica	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.430187545	0.470893164	0.33620373	0.413453966	0.50374412	0.454794556	0.598940202	0.567113796	0.377196697	0.483086148	0.471797513	0.459713941	0.61420453	0.588471301	0.434952186	0.378657529	0.544400716	0.500919126	0.503638215	0.56469591
Salmonella phage 37	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0.004504505	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella phage 40	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.007575758	0.003787879	0.003787879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella phage SKML-39	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0.014124294	0.002824859	0	0	0	0	0	0	0	0	0	0.005649718	0	0.005649718	0	0	0	0
Serratia marcescens	Healthy	Primary-bacterial-effect	facilitator_bacteria	0.302154195	0.392457839	0.324436465	0.31118949	0.440814011	0.355671772	0.53895113	0.53039934	0.432796719	0.409819185	0.475232346	0.443958134	0.571860529	0.402452937	0.330017584	0.304750316	0.490993712	0.530722634	0.472572	0.528691237
Serratia phage PS2	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.022130987	0.013333333	0.02435321	0.008888889	0.002222222	0.007376996	0	0.002932551	0.002222222	0	0	0.004444444	0	0	0	0	0	0	0.013333333	0.002222222
Streptomyces griseus	Healthy	Primary-bacterial-effect	inhibitor_bacteria	1.21650292	1.393415867	1.142165011	1.302739661	1.119769783	1.059875132	1.424627247	1.364130182	1.158693363	1.108474467	1.473633261	1.010561786	1.542990476	1.365627912	1.363738179	1.191101035	1.328345893	1.345476515	1.324908125	1.176867429
Streptomyces phage Izzy	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003571429	0	0
Sulfitobacter phage pCB2047-A	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.003401361	0.009779951	0.004889976	0.004889976	0	0.010736324	0.007334963	0.004889976	0.002444988	0	0.002444988	0.003401361	0.01605043	0	0	0
Sulfitobacter phage pCB2047-C	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.010917874	0.006993007	0	0.011515827	0.021274281	0.011437451	0.013986014	0.003496503	0.005718726	0.019052059	0.01048951	0.011437451	0.003496503	0.006666667	0.003496503	0	0.028593629	0.007940948	0.004444444	0.002222222
Sulfitobacter sp. CB2047	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.020644666	0.025982446	0.027898667	0.009036145	0.019185018	0.019986326	0.023966666	0.007490637	0.018356662	0.016411495	0.015066073	0.038822804	0.029579618	0.010443614	0.013710639	0.017568695	0.018336262	0.009036145	0.029327802	0.017183977
Synechococcus phage ACG-2014c	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.011925043	0.005110733	0.01362862	0.010221465	0.007722008	0	0	0	0.003861004	0	0	0	0	0	0	0	0	0	0	0
