Sample	plant	time	disease_outcome	pathogen.density	bacteria.Shannon	vOTU.Shannon	Myoviridae	Podoviridae	Siphoviridae	Others	Ralstonia.phage.RSF1	Ralstonia.phage.RSL1	Ralstonia.phage.RSL2	Ralstonia.phage.RSJ5	Ralstonia.phage.RSK1	Ralstonia.phage.RSB3	Ralstonia.phage.P4282	Ralstonia.phage.RS138	Total.RSphage	COG1020	COG3321	NOG01415	ratio
H-6-2	H-2	6	H	6.323	6.33344184	3.565430511	0.260193782	0.198286434	0.515084305	0.026435479	0	0.062500976	0	0	0.075001171	0	0.075001171	0.012500195	0.225003513	10.58529513	7.653747823	4.633585351	0.0355849300964732
H-6-3	H-3	6	H	6.3661	6.36997974	3.704716597	0.238933972	0.241492812	0.466237605	0.053335611	0	0.110724271	0	0	0.03690809	0.03690809	0.098421574	0.024605393	0.307567418	10.69683491	7.590011588	4.681923925	0.0483133186723426
H-6-4	H-4	6	H	6.3399	6.334496185	3.663684789	0.23686034	0.19991687	0.52586493	0.03735786	0	0.064457995	0.038674797	0	0.077349593	0	0.103132791	0	0.283615176	10.08383243	6.483086065	4.707217324	0.0447349604883358
H-6-5	H-5	6	H	6.5145	6.344283707	3.699891792	0.233505628	0.207250428	0.510165735	0.04907821	0.025486237	0.038229355	0.025486237	0	0.07645871	0.025486237	0.140174301	0	0.331321076	10.25703753	7.316213322	4.73822502	0.0508590184971986
D-0-1	D-1	0	D	6.287	6.425363588	3.4948168	0.298391016	0.259652905	0.291962196	0.149993883	0.058701527	0.03354373	0.050315595	0.008385932	0.025157797	0.03354373	1.056627493	0	1.266275806	9.909359993	6.194613482	4.174582305	0.201411771274058
D-0-2	D-2	0	D	6.063	6.408194834	3.554374786	0.292742925	0.252729073	0.293618185	0.160909818	0.046973562	0.109604977	0.031315708	0	0.031315708	0	1.080391915	0	1.299601869	4.493586745	3.023045361	2.109776541	0.214349640277091
D-0-3	D-3	0	D	6.0677	6.405431774	3.533608617	0.329009127	0.231010178	0.259976707	0.180003988	0.031430086	0.047145129	0.031430086	0	0.062860172	0.015715043	0.848612323	0	1.037192839	4.33959824	2.98086867	2.056832023	0.17093673698436
D-0-5	D-5	0	D	6.0441	6.419450242	3.575547776	0.310536981	0.234392403	0.277991682	0.177078935	0	0.088991103	0.088991103	0	0.059327402	0.029663701	0.830583632	0	1.097556942	4.879142672	3.277230732	2.411501482	0.181591459770685
D-3-1	D-1	3	D	6.1281	6.353187133	3.747536207	0.26197586	0.20669472	0.4842501	0.04707932	0	0.102435732	0.011381748	0.022763496	0.022763496	0	0.068290488	0.034145244	0.261780203	11.21623273	7.485769782	5.033056999	0.0427180044385699
D-3-2	D-2	3	D	6.002	6.334993294	3.647934874	0.272758777	0.184931148	0.520746845	0.02156323	0.015556755	0.062227021	0.015556755	0	0.046670266	0	0.046670266	0	0.186681062	7.389909595	5.313411264	3.573206192	0.031103142619127
D-3-3	D-3	3	D	6.1542	6.345531145	3.751446254	0.25474215	0.20737889	0.49424795	0.04363101	0	0.056197391	0.014049348	0	0.042148044	0	0.084296087	0	0.19669087	8.861267865	6.337425961	4.099764946	0.0319604286503526
D-3-5	D-5	3	D	6.3704	6.354673816	3.714650497	0.26561143	0.2058701	0.50363453	0.02488394	0.011796121	0.047184484	0.011796121	0	0.070776726	0.011796121	0.129757331	0	0.283106905	10.68201797	7.428767822	4.876437509	0.044440993501193
D-4-1	D-1	4	D	6.1824	6.27569826	3.711383921	0.246981038	0.19790849	0.516613834	0.038496638	0	0.042888707	0	0.014296236	0.042888707	0	0.10007365	0.014296236	0.214443536	8.570739954	5.922414916	4.140196509	0.0346861309523809
D-4-2	D-2	4	D	6.1646	6.279912755	3.647601317	0.23866697	0.202195198	0.525603041	0.033534791	0	0.067482204	0.013496441	0	0.026992882	0	0.026992882	0	0.134964409	9.626824702	6.533419122	4.425277467	0.0218934576452649
D-4-3	D-3	4	D	6.3997	6.268429362	3.653524607	0.266323068	0.203352936	0.498879395	0.031444601	0	0.049625845	0	0.012406461	0.024812923	0.024812923	0.049625845	0	0.161283997	9.806967452	7.060772473	4.630566247	0.0252018058659
D-4-5	D-5	4	D	6.3944	6.263308616	3.581542309	0.24849058	0.183641697	0.535253111	0.032614611	0.014702548	0.102917834	0.014702548	0	0.029405095	0	0.073512738	0	0.235240763	8.516453487	5.452340017	3.675140303	0.036788559208057
D-5-1	D-1	5	D	6.7373	6.367947864	3.741701182	0.272260498	0.224792087	0.465404034	0.037543381	0	0.027961171	0.027961171	0	0.055922342	0	0.041941756	0	0.15378644	9.021523143	6.768113957	4.231356133	0.0228261232244371
D-5-2	D-2	5	D	6.6596	6.371415236	3.741616471	0.277333634	0.220987006	0.466240091	0.035439269	0	0.08206462	0	0.013677437	0.08206462	0	0.095742057	0	0.273548733	9.257287657	6.775373316	4.359715424	0.0410758503513724
D-5-3	D-3	5	D	6.6478	6.388230475	3.661938443	0.266553972	0.239892423	0.440575597	0.052978008	0.009858363	0.049291816	0.009858363	0	0.059150179	0	0.078866905	0.009858363	0.216883989	12.90372389	9.497080458	5.870828143	0.0326249268931075
D-5-5	D-5	5	D	6.7084	6.396524929	3.738455348	0.285140979	0.215655266	0.466375954	0.032827801	0.012514231	0.062571157	0	0.025028463	0.012514231	0.012514231	0.112628083	0	0.237770398	9.904011615	7.067892185	4.489303426	0.0354436822491205
D-6-1	D-1	6	D	7.401	6.370308348	3.731520024	0.203529096	0.190028606	0.527033896	0.079408402	0.014619569	0.116956549	0.014619569	0	0.043858706	0	0.058478275	0	0.248532667	9.040223436	6.219289645	4.060234124	0.0335809575733009
D-6-2	D-2	6	D	7.1786	6.367911887	3.804198001	0.247796628	0.182108318	0.527940425	0.04215463	0	0.055409383	0	0	0.069261729	0	0.124671112	0	0.249342225	9.302948961	6.561690148	4.241511113	0.0347341020533252
D-6-3	D-3	6	D	7.4728	6.351638624	3.80676141	0.241097826	0.180558599	0.525241158	0.053102417	0	0.08078413	0.013464022	0	0.026928043	0	0.040392065	0	0.161568259	9.67366159	6.59528007	4.483774753	0.0216208461353174
D-6-5	D-5	6	D	7.6086	6.3476857	3.745600514	0.260357916	0.182454191	0.525325392	0.031862502	0.01345105	0.067255252	0.01345105	0.01345105	0.040353151	0.01345105	0.080706303	0.026902101	0.269021009	9.898558979	6.498978402	4.323661736	0.0353574913913203
